Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Flight,6,3,4,5,4184,1
C,Ship,5,4,5,10,1015,1
A,Ship,3,1,2,3,4042,0
C,Flight,6,2,4,56,1511,1
C,Ship,4,5,5,8,4314,0
A,Flight,4,4,6,10,4361,1
A,Ship,4,2,3,29,1365,1
F,Flight,6,5,4,9,1826,0
A,Road,5,2,3,10,4485,1
A,Ship,4,1,2,46,3371,1
B,Ship,4,1,2,4,5066,1
C,Ship,2,1,3,10,5394,0
F,Flight,4,1,3,31,1712,1
A,Ship,4,5,2,10,4962,0
F,Road,4,4,3,3,5424,1
D,Ship,3,4,3,1,5851,0
F,Ship,3,2,3,6,5642,0
C,Ship,5,2,3,8,4921,0
B,Ship,4,5,2,6,5208,0
F,Ship,3,2,3,1,5438,0
F,Flight,5,4,2,7,5341,0
A,Ship,5,4,4,8,4566,1
F,Ship,5,3,2,59,3278,1
B,Ship,2,3,3,2,4691,0
D,Ship,3,5,3,2,5653,1
F,Ship,5,2,4,8,4820,0
D,Ship,5,5,6,1,1507,0
D,Ship,4,3,3,3,3131,1
D,Ship,2,3,4,3,5079,0
B,Ship,3,2,2,2,5029,0
C,Ship,5,5,3,2,5849,1
F,Ship,4,2,3,3,4527,0
D,Ship,3,2,3,48,1867,1
D,Flight,4,3,3,7,5678,1
F,Road,5,1,6,3,1562,0
F,Ship,6,1,5,2,5364,0
F,Ship,2,3,3,8,5787,1
A,Ship,4,2,4,10,3370,1
C,Flight,4,4,3,36,2684,1
C,Ship,6,5,4,10,1005,0
C,Ship,4,3,6,6,1704,1
A,Ship,3,2,4,10,5720,0
B,Road,4,1,3,32,1061,1
A,Ship,5,5,2,6,5862,0
F,Ship,5,2,3,2,5132,1
C,Road,3,4,3,7,2424,1
F,Flight,6,5,4,6,1898,1
D,Road,3,4,3,5,4950,0
C,Road,4,4,3,2,5413,1
F,Ship,7,2,5,7,1260,1
C,Ship,3,2,3,10,4117,0
C,Ship,5,1,3,10,5308,0
C,Ship,5,5,2,55,2791,1
D,Flight,3,2,4,7,5943,1
B,Flight,5,5,2,33,3202,1
D,Ship,3,4,2,5,4660,1
C,Ship,6,4,4,4,1244,1
D,Ship,4,3,4,38,1599,1
F,Ship,7,4,4,9,1228,0
B,Ship,4,3,4,4,1021,0
F,Flight,3,5,2,4,3372,1
B,Ship,3,3,3,9,2752,1
C,Ship,6,4,4,7,1226,1
D,Ship,6,1,4,6,1928,1
D,Ship,6,4,3,4,4225,0
B,Ship,4,1,2,28,1528,1
B,Ship,3,2,8,50,3562,1
F,Road,3,4,3,7,5400,0
F,Flight,5,1,4,4,5113,1
B,Ship,6,5,4,4,1762,1
F,Ship,3,1,3,9,5489,0
C,Ship,3,1,4,18,1613,1
F,Ship,2,1,3,10,3409,1
B,Ship,4,4,2,6,1112,1
D,Flight,3,4,3,10,4998,1
D,Ship,7,1,4,9,1519,1
D,Ship,3,1,2,51,2719,1
B,Road,3,1,2,40,3773,1
C,Ship,5,1,4,14,3849,1
A,Ship,5,3,4,32,3893,1
D,Ship,5,3,3,9,5912,0
C,Ship,6,1,2,6,1269,0
F,Ship,3,3,8,7,5822,0
A,Road,4,5,3,4,5476,0
C,Flight,5,1,5,31,3836,1
B,Ship,3,3,3,7,1235,1
F,Flight,2,4,3,6,4025,1
F,Flight,5,5,3,3,4263,0
A,Ship,4,4,3,60,3145,1
F,Ship,3,5,3,1,4314,1
B,Ship,4,3,3,9,5016,0
C,Ship,5,5,5,2,1304,0
A,Road,5,5,4,3,5447,0
F,Flight,5,2,3,7,4744,1
C,Ship,3,5,2,9,4623,0
B,Ship,2,1,2,2,5435,0
D,Ship,2,5,2,6,5325,1
F,Ship,6,1,4,6,1153,0
F,Flight,3,2,2,6,5095,1
B,Ship,4,4,2,5,4380,1
F,Ship,5,1,3,7,5061,0
C,Ship,3,2,2,7,5522,0
B,Ship,3,5,4,7,4741,1
F,Ship,4,1,3,7,4386,1
D,Ship,3,5,2,60,1840,1
F,Flight,3,5,6,3,1341,1
D,Road,3,1,3,48,3672,1
F,Flight,3,5,2,14,1638,1
F,Road,7,5,5,3,1544,1
D,Road,5,5,3,50,1389,1
C,Road,6,5,3,1,5508,0
F,Ship,3,2,3,63,2751,1
C,Ship,3,2,3,2,2176,1
F,Ship,3,3,2,5,5577,0
A,Ship,3,5,3,3,5409,0
A,Road,2,4,4,7,4743,1
F,Ship,3,3,2,40,1117,1
A,Ship,5,2,2,6,5464,1
B,Ship,3,2,2,9,4142,0
F,Ship,3,2,3,51,1297,1
D,Ship,4,2,4,3,5566,0
D,Road,3,5,2,5,2339,1
D,Ship,4,1,4,3,4352,1
C,Ship,4,2,3,7,5977,0
C,Ship,5,3,3,7,4714,0
F,Ship,3,2,2,26,2719,1
F,Road,3,3,3,7,5085,0
F,Ship,5,2,2,59,2897,1
C,Ship,4,3,3,47,1323,1
F,Road,4,3,3,15,3155,1
B,Road,3,1,3,5,4643,1
F,Ship,4,3,6,2,5607,0
B,Ship,4,1,3,9,5804,0
F,Ship,4,2,3,12,1750,1
B,Ship,4,4,3,44,2070,1
A,Flight,4,1,3,7,4883,0
C,Ship,3,3,4,9,4682,1
B,Flight,5,1,5,8,1732,0
F,Ship,3,5,4,9,4819,1
A,Ship,5,3,3,7,4844,0
D,Ship,5,5,6,59,2627,1
F,Ship,3,3,4,8,5761,0
D,Ship,7,5,4,9,1367,0
D,Road,3,5,3,4,4081,1
B,Ship,2,1,3,4,4512,0
D,Ship,4,1,6,4,1349,1
C,Ship,4,4,2,8,5744,0
A,Ship,3,2,2,2,5083,0
F,Ship,6,3,5,4,1121,1
B,Road,5,5,5,9,1624,0
A,Flight,4,2,2,10,5666,1
B,Flight,3,4,3,22,3593,1
B,Flight,4,3,2,4,4732,0
B,Ship,4,2,3,3,5488,1
C,Ship,4,1,2,10,4653,1
F,Ship,4,3,3,27,1207,1
F,Ship,3,2,4,3,4512,0
C,Ship,6,2,5,6,1178,1
F,Road,4,1,3,9,4277,0
C,Road,3,4,3,10,4602,0
C,Ship,4,5,10,9,4646,0
B,Ship,4,4,2,34,1512,1
F,Ship,5,3,3,7,5675,1
F,Ship,5,1,2,32,1576,1
F,Flight,5,2,5,7,1524,0
B,Ship,4,2,5,45,2383,1
F,Ship,2,4,2,54,1707,1
F,Road,3,2,2,1,4999,0
C,Ship,2,5,5,5,1043,0
F,Flight,4,1,5,7,1922,0
C,Ship,3,2,4,4,5510,0
F,Ship,4,5,2,1,4741,0
C,Ship,3,2,4,38,1322,1
F,Ship,2,4,3,19,3356,1
F,Ship,4,1,3,58,1516,1
F,Ship,6,2,4,4,1148,0
A,Ship,4,1,3,43,2643,1
C,Flight,3,2,2,17,1673,1
D,Ship,4,1,8,12,1519,1
C,Flight,4,3,3,46,2344,1
D,Ship,5,2,3,39,3743,1
B,Ship,6,2,4,9,1626,0
F,Flight,3,3,4,5,4084,1
F,Ship,3,5,5,1,5263,1
C,Ship,3,3,3,20,1305,1
F,Ship,3,5,3,12,3049,1
A,Flight,5,5,6,4,1924,1
D,Ship,5,1,4,38,1277,1
F,Road,3,1,3,39,1838,1
A,Ship,6,1,4,4,1236,1
F,Ship,3,1,3,63,1420,1
A,Ship,2,3,2,20,1832,1
F,Ship,3,4,3,22,3818,1
A,Ship,7,2,4,9,1918,1
A,Ship,3,5,2,2,5062,1
D,Ship,3,3,3,8,5487,0
B,Flight,3,4,6,3,5605,0
C,Ship,5,3,4,2,5316,0
D,Road,4,4,6,3,5204,0
A,Flight,2,5,2,9,5363,1
C,Ship,4,4,3,34,1283,1
D,Flight,4,5,7,60,1366,1
C,Ship,3,2,4,52,2900,1
D,Ship,3,1,4,8,5884,1
F,Road,3,4,3,58,1443,1
B,Road,6,5,4,6,1872,0
B,Ship,4,5,3,52,1741,1
A,Ship,4,5,3,65,1277,1
A,Ship,5,4,3,2,4492,1
C,Ship,6,5,5,3,5771,0
C,Ship,3,5,2,40,1460,1
F,Ship,4,4,2,9,4462,0
B,Ship,4,1,3,23,3807,1
F,Road,6,1,2,4,4016,0
F,Ship,6,2,2,6,1711,0
F,Ship,3,1,2,2,5104,1
C,Ship,5,1,3,3,5839,0
F,Road,4,5,10,44,3860,1
B,Ship,4,5,3,3,4885,1
F,Ship,6,4,3,10,5414,1
B,Ship,4,1,2,10,5066,0
D,Ship,3,4,3,56,3427,1
B,Flight,4,1,6,7,1711,0
B,Ship,5,5,3,3,4071,1
B,Road,5,5,3,5,4285,1
A,Flight,4,3,3,43,1009,1
F,Ship,5,1,6,4,1123,1
B,Ship,4,3,3,8,4025,1
D,Flight,4,1,4,7,5600,1
F,Ship,4,1,3,56,1811,1
F,Road,4,1,3,7,4083,1
F,Ship,5,3,2,10,4651,0
F,Ship,3,5,3,5,4075,1
F,Road,5,5,3,9,5295,0
F,Ship,4,2,6,9,4736,1
F,Road,3,3,4,10,1690,1
B,Ship,5,2,2,1,5112,0
B,Ship,5,1,4,5,5841,0
B,Ship,5,4,2,8,4200,0
A,Road,5,1,3,62,1945,1
C,Ship,4,1,6,2,1629,1
B,Flight,5,3,3,38,3631,1
B,Ship,4,1,3,60,1200,1
B,Ship,3,4,2,1,5745,0
F,Ship,4,3,5,6,1366,1
A,Ship,3,3,2,1,5244,0
D,Ship,4,4,4,3,5849,1
F,Road,7,2,5,61,1856,1
F,Ship,5,2,6,2,1210,0
A,Ship,7,5,4,1,1347,0
B,Ship,5,4,6,5,4974,1
F,Road,4,2,3,9,4078,1
F,Ship,3,4,2,10,5674,1
B,Ship,4,5,4,10,4004,0
F,Road,5,5,4,12,2947,1
D,Ship,3,2,3,46,3642,1
B,Ship,4,2,6,2,1712,1
C,Ship,2,3,3,18,1289,1
F,Ship,3,5,3,9,5412,0
C,Ship,4,2,2,1,1446,1
F,Ship,5,4,3,6,5721,0
C,Ship,4,1,3,7,5211,1
A,Road,3,2,2,7,4938,0
C,Ship,6,2,4,8,1891,0
F,Ship,5,1,3,7,4381,1
C,Ship,3,4,3,41,2042,1
A,Road,4,5,5,3,1954,0
C,Road,5,3,5,6,1929,0
C,Ship,3,3,4,2,5040,1
D,Ship,3,1,4,12,2779,1
A,Ship,4,4,3,6,5488,1
D,Ship,3,5,3,4,4569,0
C,Flight,6,1,5,3,1434,0
F,Ship,2,2,5,10,4368,0
F,Ship,4,5,8,4,5472,1
A,Ship,7,3,4,2,1304,1
F,Ship,5,1,5,2,4845,0
F,Ship,5,5,5,3,1145,0
A,Road,6,3,6,8,3878,1
F,Flight,5,3,3,41,1204,1
C,Ship,5,4,4,10,1995,0
F,Flight,4,1,2,9,5230,1
B,Ship,4,1,2,2,1752,0
F,Ship,6,1,3,63,1548,1
F,Ship,5,4,2,1,5494,0
B,Ship,3,4,2,3,4930,0
B,Ship,3,5,4,26,2072,1
A,Ship,3,4,2,20,2266,1
F,Ship,4,2,2,26,2431,1
A,Ship,5,2,3,3,4698,1
C,Road,4,3,3,10,4820,1
C,Ship,4,3,3,3,5055,1
B,Ship,4,3,4,6,4166,0
B,Flight,4,3,5,3,1093,0
C,Flight,5,5,3,55,2641,1
B,Flight,4,1,5,5,5049,1
C,Flight,4,2,2,8,4222,0
B,Ship,3,1,3,2,4831,1
F,Ship,4,5,3,2,4554,0
B,Ship,3,4,2,52,3543,1
C,Road,3,5,3,9,3206,1
D,Ship,4,3,3,10,5434,0
D,Road,4,5,3,3,4695,1
D,Ship,5,1,4,1,4270,1
B,Ship,5,4,2,10,4734,0
F,Ship,3,3,3,4,5479,0
B,Ship,7,3,4,5,1866,1
C,Ship,3,2,6,7,4329,0
A,Ship,2,1,2,5,4456,0
F,Ship,5,1,4,33,2605,1
F,Ship,3,3,3,8,1074,1
C,Road,3,4,4,8,4540,0
C,Flight,4,1,4,34,3813,1
D,Ship,3,5,2,63,1141,1
A,Road,4,5,3,3,5939,1
B,Ship,6,4,4,9,1817,0
C,Road,5,4,4,5,5580,0
F,Ship,6,1,6,8,5714,1
D,Road,4,4,2,5,4356,0
A,Road,5,2,2,5,4046,0
C,Ship,5,4,3,5,5552,1
C,Ship,3,3,4,6,4687,1
A,Flight,4,4,2,7,5456,0
B,Road,6,2,4,3,1116,0
F,Ship,2,3,3,5,4663,0
B,Flight,3,5,3,4,1889,1
F,Ship,4,2,3,6,3671,1
B,Ship,4,3,3,2,5298,0
A,Road,5,2,5,8,1317,0
B,Ship,5,5,5,8,1750,1
B,Ship,3,1,3,5,5676,1
F,Road,4,3,6,2,1634,0
D,Road,3,5,3,21,2476,1
A,Ship,3,1,3,6,4081,1
A,Road,3,1,3,4,4631,0
C,Ship,4,4,3,7,5807,1
F,Ship,4,3,2,10,5709,1
B,Ship,3,3,3,5,5831,0
D,Road,3,2,2,35,2090,1
F,Ship,6,5,4,6,1787,1
A,Ship,5,1,2,1,5352,1
C,Road,4,2,3,2,5707,0
D,Ship,5,1,3,10,4674,1
D,Road,5,2,3,29,2411,1
F,Ship,5,2,3,38,2211,1
B,Flight,3,2,3,4,4450,0
B,Ship,4,3,4,24,3499,1
F,Road,5,1,3,5,4355,0
C,Ship,3,3,3,7,4439,0
B,Ship,3,3,2,60,1808,1
F,Ship,3,4,3,8,5337,1
F,Ship,5,3,3,7,5830,1
D,Road,6,4,3,6,4649,0
B,Road,2,4,3,32,1819,1
C,Road,3,1,4,4,5683,0
F,Flight,3,2,4,6,5761,0
F,Ship,6,1,4,10,1534,1
C,Ship,5,4,3,1,4727,0
A,Road,3,1,4,58,1067,1
F,Ship,3,3,3,7,4690,1
B,Ship,5,1,5,9,1603,0
F,Ship,3,1,2,4,5559,0
F,Road,3,4,5,9,5308,0
F,Flight,4,4,3,9,5555,1
B,Ship,3,1,3,28,3290,1
A,Ship,3,4,3,21,2003,1
B,Flight,3,3,2,46,2962,1
D,Ship,3,4,3,7,5417,0
C,Flight,5,2,5,9,1917,0
D,Ship,4,2,5,8,1922,0
F,Ship,6,4,4,8,1779,1
D,Ship,4,4,2,10,4927,0
D,Ship,2,5,3,61,1313,1
F,Ship,3,4,2,10,5559,1
A,Ship,7,5,4,9,1754,1
A,Ship,4,5,2,7,5800,0
B,Ship,3,2,3,3,2791,1
B,Flight,3,3,4,10,1177,1
F,Ship,4,1,5,6,1874,0
B,Ship,3,1,3,10,4341,1
C,Ship,6,2,4,5,1771,1
A,Ship,4,5,4,1,5585,1
B,Ship,3,5,5,4,5624,0
C,Ship,3,3,3,65,1228,1
F,Ship,3,3,3,58,1269,1
F,Ship,6,3,4,2,1083,0
C,Ship,6,3,2,1,1756,0
F,Ship,3,5,4,28,3903,1
C,Ship,5,2,2,6,2059,1
F,Ship,6,5,2,4,5898,1
F,Road,3,1,2,10,5642,1
F,Ship,4,1,5,3,1537,0
F,Ship,4,1,3,39,1458,1
C,Ship,3,3,3,49,2339,1
B,Ship,3,3,4,6,4015,0
F,Road,6,2,6,8,1691,1
F,Ship,4,5,5,7,1983,0
D,Ship,5,1,2,18,2582,1
F,Flight,3,4,10,32,2064,1
F,Ship,4,3,2,8,5513,0
B,Ship,2,1,2,8,4323,0
F,Ship,3,4,3,4,4458,0
D,Ship,2,5,3,13,2171,1
A,Ship,4,2,3,5,5393,1
F,Ship,6,4,3,19,2944,1
A,Ship,4,2,2,7,5876,1
D,Flight,4,4,2,7,5543,1
C,Ship,5,5,2,7,4409,1
B,Ship,3,4,3,16,1020,1
C,Ship,4,4,2,7,4604,0
D,Road,4,3,6,9,5872,0
F,Ship,2,2,3,5,4151,1
F,Ship,3,2,6,7,4723,1
C,Road,4,5,2,9,5724,0
A,Road,5,3,3,8,4811,0
F,Ship,5,5,3,4,5734,0
A,Road,3,1,4,7,5107,0
